Date,SPY_PRICE,VIX_PRICE,SPY_Volume,SPY_CHANGE_PCT,VIX_CHANGE_PCT
2010-01-04,112.8500023,20.86000061,118944600,NULL,NULL
2010-01-05,113.4449997,19.69999981,111579900,0.527,-5.561
2010-01-06,113.6149979,19.375,116074400,0.15,-1.65
2010-01-07,113.8450012,19.36999989,131091100,0.202,-0.026
2010-01-08,114.2299995,18.69999981,126402800,0.338,-3.459
2010-01-11,114.9050026,17.23999977,106375700,0.591,-7.807
2010-01-12,113.8150024,18.10000038,163333500,-0.949,4.988
2010-01-13,114.2849998,17.89500046,161822000,0.413,-1.133
2010-01-14,114.7099991,17.8949995,115718800,0.372,0
2010-01-15,114.1850014,17.7699995,212283100,-0.458,-0.699
2010-01-19,114.3400002,18.10499954,139172700,0.136,1.885
2010-01-20,114.0849991,18.59500027,216490200,-0.223,2.706
2010-01-21,112.8099976,20.43000031,344859600,-1.118,9.868
2010-01-22,110.204998,24.78999996,345942400,-2.309,21.341
2010-01-25,109.9899979,26.36499977,186937500,-0.195,6.353
2010-01-26,109.3249969,25.28999996,211168800,-0.605,-4.077
2010-01-27,109.5,23.97499943,271863600,0.16,-5.2
2010-01-28,109.3800011,23.26000023,316104000,-0.11,-2.982
2010-01-29,108.2150002,24.17500019,310677600,-1.065,3.934
2010-02-01,108.6049995,23.46000004,187865000,0.36,-2.958
2010-02-02,109.8199997,22.03499985,216327900,1.119,-6.074
2010-02-03,109.8549995,21.8550005,172730700,0.032,-0.817
2010-02-04,107.7100029,24.35499954,356715700,-1.953,11.439
2010-02-05,106.6100006,25.90000057,493585800,-1.021,6.344
2010-02-08,106.3149986,26.31000042,224166900,-0.277,1.583
2010-02-09,107.1749992,26.25500011,337820500,0.809,-0.209
2010-02-10,107.0300026,25.88000011,240511500,-0.135,-1.428
2010-02-11,107.5,24.88999939,223591600,0.439,-3.825
2010-02-12,107.5149994,23.34499931,304622100,0.014,-6.207
2010-02-16,109.2999992,22.88000011,159317500,1.66,-1.992
2010-02-17,110.2649994,21.98499966,168845100,0.883,-3.912
2010-02-18,110.4950027,21.17499924,193708600,0.209,-3.684
2010-02-19,110.8800011,20.54500008,222684900,0.348,-2.975
2010-02-22,111.3550034,20.05000019,132346900,0.428,-2.409
2010-02-23,110.3349991,20.88000011,207497000,-0.916,4.14
2010-02-24,110.4799995,20.75,176350700,0.131,-0.623
2010-02-25,109.954998,21.06500053,259634700,-0.475,1.518
2010-02-26,110.7549973,19.68999958,173589300,0.728,-6.527
2010-03-01,111.5449982,19.59500027,147709700,0.713,-0.482
2010-03-02,112.2849998,18.94499969,160992400,0.663,-3.317
2010-03-03,112.3950005,18.89000034,150785000,0.098,-0.29
2010-03-04,112.5449982,18.78999996,135770400,0.133,-0.529
2010-03-05,113.8100014,17.73999977,176118800,1.124,-5.588
2010-03-08,114.2649994,17.87000084,114631200,0.4,0.733
2010-03-09,114.1949997,18.05000019,154556700,-0.061,1.007
2010-03-10,114.7400017,18.28499985,186088800,0.477,1.302
2010-03-11,115.0749969,18.47999954,160791100,0.292,1.066
2010-03-12,115.704998,17.77499962,162074800,0.547,-3.815
2010-03-15,115.375,18.14000034,146816800,-0.285,2.053
2010-03-16,116.1100006,17.73500061,168673000,0.637,-2.233
2010-03-17,116.9300003,16.93999958,177468100,0.706,-4.483
2010-03-18,117.0750008,16.78999996,196509100,0.124,-0.885
2010-03-19,115.9700012,16.56999969,226641100,-0.944,-1.31
2010-03-22,115.9499969,17.58500004,184477800,-0.017,6.126
2010-03-23,117.0850029,16.59500027,182941600,0.979,-5.63
2010-03-24,116.9049988,17.19999981,196072600,-0.154,3.646
2010-03-25,117.1399994,17.73499966,223396300,0.201,3.11
2010-03-26,116.7250023,18.02000046,205808500,-0.354,1.607
2010-03-29,117.2449989,17.88000011,134513500,0.445,-0.777
2010-03-30,117.4300003,17.38499928,145772500,0.158,-2.768
2010-03-31,116.9749985,17.625,161078700,-0.387,1.381
2010-04-01,117.8000031,17.23999977,161215200,0.705,-2.184
2010-04-05,118.5050011,17.48999977,105847600,0.598,1.45
2010-04-06,118.7299995,16.80999947,110384200,0.19,-3.888
2010-04-07,118.5800018,16.67000008,184576300,-0.126,-0.833
2010-04-08,118.3599968,16.84499931,158704000,-0.186,1.05
2010-04-09,119.2849998,16.22999954,133006500,0.782,-3.651
2010-04-12,119.7199974,15.625,110279000,0.365,-3.728
2010-04-13,119.7250023,16.09000015,125043600,0.004,2.976
2010-04-14,120.7299995,15.69500017,161609000,0.839,-2.455
2010-04-15,121.1399994,15.88000011,144615300,0.34,1.179
2010-04-16,120.1100006,17.27500057,366786700,-0.85,8.785
2010-04-19,119.4099998,18.23999977,217947800,-0.583,5.586
2010-04-20,120.7199974,16.28499985,157708000,1.097,-10.718
2010-04-21,120.8050003,16.12999964,192910100,0.07,-0.952
2010-04-22,120.4149971,16.97499943,115360300,-0.323,5.239
2010-04-23,121.375,16.62000084,177335500,0.797,-2.091
2010-04-26,121.5999985,17.49499989,143457300,0.185,5.265
2010-04-27,119.5650024,20.46999931,355853300,-1.674,17.005
2010-04-28,119.2150002,21.57999992,300674100,-0.293,5.423
2010-04-29,120.4799995,19.40500069,193775000,1.061,-10.079
2010-04-30,119.8449974,20.39999962,270000900,-0.527,5.128
2010-05-03,119.8649979,21.30000019,182747900,0.017,4.412
2010-05-04,118.2649994,23.14999962,360353400,-1.335,8.685
2010-05-05,116.6899986,25.43499947,328973200,-1.332,9.87
2010-05-06,114.6000023,29.3399992,647356600,-1.791,15.353
2010-05-07,111.9500008,36.85499954,637558800,-2.312,25.613
2010-05-10,115.9850006,28.74499989,396159600,3.604,-22.005
2010-05-11,115.4500008,29.68000031,317849800,-0.461,3.253
2010-05-12,116.8699989,26.03999996,235607100,1.23,-12.264
2010-05-13,116.5599976,26.42500019,234452500,-0.265,1.478
2010-05-14,114.5050011,29.81999969,345601400,-1.763,12.848
2010-05-17,114.0749969,31.08500004,325739800,-0.376,4.242
2010-05-18,113.6399994,31.10999966,360556800,-0.381,0.08
2010-05-19,111.7649994,34.98500061,394742700,-1.65,12.456
2010-05-20,108.4599991,43.79000092,530418300,-2.957,25.168
2010-05-21,107.5100021,43.87999916,500909400,-0.876,0.206
2010-05-24,108.1149979,40.03000069,269823000,0.563,-8.774
2010-05-25,106.4650002,38.88000107,396505200,-1.526,-2.873
2010-05-26,107.8250008,33.78000069,349719300,1.277,-13.117
2010-05-27,109.9750023,29.96000004,300870500,1.994,-11.308
2010-05-28,110.0050011,31.14999962,297933500,0.027,3.972
2010-06-01,107.9399986,35.20499992,277909400,-1.877,13.018
2010-06-02,109.2050018,32.27999973,240243700,1.172,-8.308
2010-06-03,110.6800003,29.55499935,226618300,1.351,-8.442
2010-06-04,107.7150002,34.20499992,398475600,-2.679,15.733
2010-06-07,106.3449974,36.11499977,264609100,-1.272,5.584
2010-06-08,106.0950012,35.11499977,357774300,-0.235,-2.769
2010-06-09,106.6450005,33.03000069,268023300,0.518,-5.938
2010-06-10,108.5050011,30.78499985,317890600,1.744,-6.797
2010-06-11,108.9350014,30.29000092,214128200,0.396,-1.608
2010-06-14,110.0149994,28.26000023,207196100,0.991,-6.702
2010-06-15,111.1399994,26.77500057,238268700,1.023,-5.255
2010-06-16,111.6899986,26.31999969,216374000,0.495,-1.699
2010-06-17,112.2099991,25.31999969,263185800,0.466,-3.799
2010-06-18,111.7800026,24.4100008,174006600,-0.383,-3.594
2010-06-21,112.2650032,23.88999939,213140700,0.434,-2.13
2010-06-22,110.4900017,26.09499931,239355400,-1.581,9.23
2010-06-23,109.4350014,26.92000008,254639900,-0.955,3.162
2010-06-24,108.0550003,28.67500019,268523600,-1.261,6.519
2010-06-25,107.8050003,29.08500004,238726500,-0.231,1.43
2010-06-28,107.7799988,29.10000038,169218600,-0.023,0.052
2010-06-29,105.1149979,32.67500019,373649500,-2.473,12.285
2010-06-30,103.5699997,34.24500084,284101700,-1.47,4.805
2010-07-01,102.9550018,33.63500023,382924800,-0.594,-1.781
2010-07-02,102.6549988,30.91499996,233385200,-0.291,-8.087
2010-07-06,103.2550011,29.23499966,256935300,0.584,-5.434
2010-07-07,104.6199989,28.19999981,253769400,1.322,-3.54
2010-07-08,107.0800018,26.10499954,210842100,2.351,-7.429
2010-07-09,107.5449982,25.16499996,144999900,0.434,-3.601
2010-07-12,107.8149986,24.54500008,131283600,0.251,-2.464
2010-07-13,109.4050026,23.92500019,213025900,1.475,-2.526
2010-07-14,109.4799995,24.75,184426800,0.069,3.448
2010-07-15,109.6450005,25.10999966,232337900,0.151,1.455
