year_month,Business_Days,AVG_SPY,AVG_VIX,AVG_SPY_CHANGE_PCT,AVG_VIX_CHANGE_PCT
2010-01,19,112.5123683,20.62578944,-0.23,1.03
2010-02,19,109.0502633,22.80552628,0.13,-0.98
2010-03,23,115.368478,17.85304347,0.24,-0.44
2010-04,21,119.8149997,17.40238085,0.12,0.88
2010-05,20,112.9287498,31.77200003,-0.42,2.87
2010-06,22,108.7915911,29.92500006,-0.27,0.67
2010-07,21,108.0045239,25.78166662,0.28,-1.52
2010-08,22,109.0347725,24.96863621,-0.19,0.51
2010-09,21,112.3766672,22.60809512,0.41,-0.58
2010-10,21,117.1945236,20.53238101,0.16,-0.37
2010-11,21,120.0942857,20.20285724,0,0.63
2010-12,22,124.2965912,17.66909088,0.28,-1.14
2011-01,20,128.2552507,17.28049998,0.11,0.56
2011-02,19,132.1371062,17.58184207,0.19,-0.04
2011-03,23,130.6736956,20.68695649,-0.01,-0.01
2011-04,20,133.1652496,16.30100005,0.14,-0.84
2011-05,21,134.0992853,17.0111906,-0.05,0.48
2011-06,22,128.9981814,19.13931827,-0.11,0.43
2011-07,20,132.5730003,19.1562499,-0.09,2.28
2011-08,23,118.9258703,34.78717393,-0.21,1.64
2011-09,21,117.6347618,36.63428561,-0.32,1.67
2011-10,21,120.6300002,33.11833327,0.51,-1.58
2011-11,21,123.0009526,32.07166654,-0.07,0.19
2011-12,21,124.6454758,25.07309523,0.06,-0.78
2012-01,20,129.9507502,20.49249992,0.23,-0.85
2012-02,20,135.3677498,18.54050002,0.22,-0.18
2012-03,22,139.0025011,16.22272739,0.12,-0.63
2012-04,20,138.6862492,17.91649995,-0.03,0.74
2012-05,22,134.5063643,20.96545454,-0.28,1.64
2012-06,21,132.50262,21.25190471,0.15,-1.34
2012-07,21,135.9652376,17.66904765,0.09,0.51
2012-08,23,140.6621724,15.73065204,0.1,-0.22
2012-09,19,144.667105,15.3452631,0.11,-0.48
2012-10,21,143.991191,16.18071433,-0.08,0.85
2012-11,21,139.7921422,16.7207143,0.02,-0.64
2012-12,20,142.5614998,17.36499987,-0.04,1.37
2013-01,21,147.7809532,13.60238096,0.29,-1.39
2013-02,19,151.3560534,13.99210531,0.07,0.5
2013-03,20,155.0457493,13.09125004,0.15,-0.72
2013-04,22,156.9318178,13.97386362,0.09,0.51
2013-05,22,164.0952266,13.51999992,0.14,0.7
2013-06,20,162.2865009,17.2559999,-0.12,0.62
2013-07,22,166.7240906,14.08022729,0.23,-1.02
2013-08,22,167.254545,14.22499995,-0.13,1.15
2013-09,20,168.9427494,14.75625007,0.11,0.15
2013-10,23,171.7482595,15.48913035,0.21,-0.74
2013-11,20,178.5077503,12.95575006,0.15,-0.11
2013-12,21,180.9859525,14.17261902,0.09,0.16
2014-01,21,182.1797613,14.16642863,-0.18,1.68
2014-02,19,181.6526309,15.59026322,0.25,-1.31
2014-03,21,186.6699996,14.78190477,0.02,0.1
2014-04,21,186.4066667,14.23238103,0.03,0.09
2014-05,21,189.0942855,12.59976185,0.11,-0.79
2014-06,21,194.7871424,11.61,0.08,0.13
2014-07,22,197.2474993,12.14750006,-0.03,1.6
2014-08,21,196.2630949,13.55761905,0.15,-1.2
2014-09,21,199.5583333,13.50642849,-0.08,1.48
2014-10,23,193.5821739,18.10260885,0.1,-0.17
2014-11,19,204.5821047,13.53026315,0.15,-0.3
2014-12,22,205.6500001,16.27704551,-0.01,1.82
2015-01,20,202.7795002,19.13249993,-0.16,1.06
2015-02,19,208.0202637,16.15605261,0.28,-1.99
2015-03,22,208.1554558,14.85704548,-0.09,0.59
2015-04,21,209.2383332,13.6209524,0.05,-0.22
2015-05,20,211.3830006,13.40449998,0.06,-0.02
2015-06,22,210.2761362,14.3420455,-0.11,1.48
2015-07,22,209.3411352,14.41022723,0.1,-1.49
2015-08,21,204.4388097,18.87619048,-0.29,4.78
2015-09,21,194.74381,24.46904759,-0.16,-0.27
2015-10,22,202.0577275,16.95750005,0.4,-2.16
2015-11,20,208.3012501,16.24825001,0.02,0.46
2015-12,22,205.6952268,17.93909099,-0.1,0.97
2016-01,19,191.8015799,23.80394725,-0.33,1.11
2016-02,20,190.5040009,22.74949985,0.07,0.1
2016-03,22,201.9615909,16.11795447,0.26,-1.67
2016-04,21,207.237143,14.39738097,0.02,0.61
2016-05,21,206.5826194,14.98714281,0.09,-0.37
2016-06,22,208.304091,17.79886369,-0.03,1.3
2016-07,20,214.5209999,13.26375003,0.2,-1.32
2016-08,23,217.8619554,12.41217389,0.02,0.38
2016-09,21,215.7026182,14.27095229,-0.03,0.63
2016-10,21,214.2523811,14.60214277,-0.07,0.91
2016-11,21,216.4833334,15.34023816,0.18,-0.97
2016-12,21,224.6319046,12.47642853,0.07,0.32
2017-01,20,227.0005001,11.72749996,0.07,-0.49
2017-02,19,232.6384217,11.5663158,0.21,0.22
2017-03,23,236.5508688,11.95260869,-0.01,-0.11
2017-04,19,235.6207886,13.12868429,0.06,-0.45
2017-05,22,239.5404545,10.87659095,0.06,0.12
2017-06,22,243.32091,10.52022724,0.01,0.58
2017-07,20,245.0050007,10.29674995,0.1,-0.43
2017-08,23,245.6550001,11.99086954,0,0.59
2017-09,20,248.9999996,10.51249998,0.08,-0.52
2017-10,22,255.1611356,10.12431814,0.12,0.37
2017-11,21,259.0885715,10.54452378,0.13,0.4
